name,country,Bet 365,Sky Bet,Boylesports,Betfred,Sportingbet,Bet Victor,Paddy Power,Stan James,888sport,Ladbrokes,Coral,William Hill,Winner,Betfair Sportsbook,Betway,BetBright,Titan Bet,Unibet,Bwin,32Red Bet,10Bet,Betfair,Betdaq,Matchbook
benfica,Portugal,2.5,2.38,2.2,2.25,2.1,2.2,2.1,2.1,2.3,2.1,2.5,2.38,2.2,2.1,2.25,2.3,2.2,2.3,2.2,2.3,2.6,2.42,,
sporting lisbon,Portugal,5.5,5.5,7.0,6.0,7.0,7.0,6.5,6.5,6.0,7.0,5.5,5.5,6.5,7.0,7.0,6.0,6.5,6.0,7.0,6.0,5.3,6.13,,
braga,Portugal,81.0,67.0,67.0,67.0,67.0,67.0,101.0,67.0,67.0,67.0,67.0,81.0,67.0,34.0,67.0,74.0,67.0,67.0,81.0,67.0,76.0,28.0,,
maritimo,Portugal,201.0,151.0,201.0,251.0,201.0,,226.0,151.0,151.0,201.0,251.0,251.0,151.0,67.0,201.0,180.0,151.0,151.0,201.0,151.0,201.0,48.0,,
nacional madeira,Portugal,201.0,151.0,151.0,251.0,201.0,,226.0,151.0,151.0,201.0,,251.0,151.0,101.0,151.0,180.0,151.0,151.0,201.0,151.0,201.0,81.0,,
guimaraes,Portugal,151.0,151.0,151.0,201.0,201.0,,226.0,201.0,151.0,251.0,251.0,251.0,151.0,251.0,201.0,160.0,151.0,151.0,201.0,151.0,151.0,95.0,,
pacos ferreira,Portugal,201.0,201.0,201.0,251.0,201.0,,226.0,201.0,201.0,201.0,251.0,251.0,151.0,251.0,251.0,195.0,151.0,201.0,201.0,201.0,201.0,95.0,,
belenenses,Portugal,201.0,251.0,301.0,501.0,201.0,,226.0,251.0,301.0,351.0,501.0,501.0,151.0,101.0,501.0,251.0,151.0,301.0,301.0,301.0,201.0,81.0,,
estoril,Portugal,251.0,251.0,301.0,501.0,251.0,,226.0,251.0,251.0,351.0,251.0,501.0,251.0,101.0,251.0,251.0,251.0,251.0,351.0,251.0,251.0,81.0,,
boavista,Portugal,251.0,251.0,301.0,501.0,251.0,,376.0,301.0,501.0,351.0,501.0,501.0,251.0,301.0,251.0,351.0,251.0,501.0,351.0,501.0,251.0,95.0,,
rio ave,Portugal,251.0,251.0,301.0,501.0,251.0,,501.0,301.0,201.0,501.0,251.0,501.0,251.0,201.0,501.0,221.0,251.0,201.0,251.0,201.0,251.0,95.0,,
moreirense,Portugal,501.0,251.0,301.0,501.0,251.0,,501.0,501.0,501.0,351.0,501.0,501.0,251.0,151.0,501.0,451.0,251.0,501.0,501.0,501.0,510.0,95.0,,
academica viseu,Portugal,751.0,751.0,751.0,751.0,501.0,,501.0,751.0,751.0,501.0,501.0,751.0,501.0,301.0,751.0,701.0,501.0,751.0,501.0,751.0,801.0,95.0,,
arouca,Portugal,751.0,501.0,751.0,751.0,501.0,,501.0,751.0,501.0,501.0,501.0,751.0,501.0,501.0,501.0,651.0,501.0,501.0,751.0,501.0,801.0,95.0,,
tondela,Portugal,1001.0,1001.0,1001.0,1001.0,1001.0,,501.0,1001.0,1001.0,1001.0,1001.0,1001.0,501.0,1001.0,1001.0,951.0,501.0,1001.0,1001.0,1001.0,1000.0,95.0,,
u madeira,Portugal,1001.0,1001.0,1001.0,1001.0,1001.0,,501.0,1001.0,1001.0,1001.0,1001.0,1001.0,501.0,1001.0,1001.0,951.0,501.0,1001.0,1001.0,1001.0,1000.0,95.0,,
vitoria setubal,Portugal,501.0,501.0,751.0,1001.0,251.0,,501.0,1001.0,751.0,751.0,501.0,1001.0,501.0,1001.0,1001.0,701.0,501.0,751.0,751.0,751.0,,95.0,,
chaves,Portugal,,,,,,,,,,,,1001.0,,,,,,,,,,,,
fenerbahce,Turkey,2.0,2.0,,2.25,2.0,2.38,2.3,2.1,2.0,2.25,2.2,,,2.1,,,,2.0,2.4,2.0,1.95,1.99,,
galatasaray,Turkey,2.75,2.75,,2.75,2.8,2.38,2.62,2.6,2.8,2.62,2.8,,,2.62,,,,2.8,2.6,2.8,2.8,2.48,,
besiktas,Turkey,9.0,8.0,,8.0,9.0,7.0,6.5,7.0,9.5,6.0,9.0,,,8.0,,,,9.5,7.0,9.5,9.0,7.08,,
trabzonspor,Turkey,17.0,17.0,,15.0,15.0,11.0,9.0,12.0,18.0,8.5,17.0,,,13.0,,,,18.0,11.0,18.0,17.5,11.0,,
bursaspor,Turkey,21.0,21.0,,21.0,19.0,13.0,12.0,15.0,22.0,12.0,21.0,,,17.0,,,,22.0,12.0,22.0,21.0,14.8,,
istanbul bb,Turkey,41.0,34.0,,34.0,41.0,34.0,26.0,29.0,46.0,26.0,41.0,,,34.0,,,,46.0,21.0,46.0,41.0,28.0,,
kasimpasa,Turkey,51.0,34.0,,41.0,41.0,34.0,26.0,34.0,56.0,26.0,51.0,,,34.0,,,,56.0,26.0,56.0,51.0,28.0,,
mersin i y,Turkey,67.0,67.0,,67.0,67.0,67.0,67.0,51.0,71.0,51.0,67.0,,,67.0,,,,71.0,51.0,71.0,67.0,48.0,,
gaziantepspor,Turkey,101.0,67.0,,81.0,81.0,51.0,41.0,51.0,106.0,41.0,101.0,,,67.0,,,,106.0,41.0,106.0,101.0,48.0,,
genclerbirligi,Turkey,101.0,67.0,,81.0,81.0,51.0,41.0,51.0,121.0,41.0,101.0,,,67.0,,,,121.0,41.0,121.0,101.0,48.0,,
konyaspor,Turkey,101.0,101.0,,101.0,101.0,151.0,101.0,101.0,156.0,101.0,101.0,,,101.0,,,,156.0,101.0,156.0,101.0,81.0,,
eskisehirspor,Turkey,201.0,151.0,,151.0,201.0,151.0,101.0,126.0,206.0,101.0,201.0,,,151.0,,,,206.0,101.0,206.0,201.0,95.0,,
kayserispor,Turkey,201.0,151.0,,201.0,201.0,201.0,101.0,151.0,211.0,151.0,201.0,,,151.0,,,,211.0,151.0,211.0,201.0,95.0,,
sivasspor,Turkey,201.0,151.0,,201.0,201.0,151.0,101.0,126.0,211.0,81.0,201.0,,,151.0,,,,211.0,81.0,211.0,201.0,95.0,,
akhisar,Turkey,251.0,101.0,,151.0,201.0,101.0,81.0,126.0,256.0,81.0,251.0,,,151.0,,,,256.0,81.0,256.0,251.0,95.0,,
rizespor,Turkey,251.0,201.0,,201.0,251.0,151.0,101.0,151.0,261.0,101.0,251.0,,,201.0,,,,261.0,101.0,261.0,251.0,95.0,,
antalyaspor,Turkey,101.0,201.0,,151.0,67.0,251.0,276.0,176.0,281.0,201.0,101.0,,,101.0,,,,281.0,34.0,281.0,101.0,81.0,,
osmanlispor,Turkey,501.0,501.0,,501.0,501.0,501.0,501.0,401.0,,501.0,501.0,,,501.0,,,,,501.0,,501.0,95.0,,
