name,group,Bet 365,Sky Bet,Totesport,Boylesports,Betfred,Sporting Bet,Bet Victor,Paddy Power,Stan James,888sport,Ladbrokes,Coral,William Hill,Winner,Spreadex,Bwin,Unibet,You Win,Betway,32Red Bet,Betfair,Betdaq,Sporting Index
Olympiakos,c,29.0,21.0,17.0,21.0,,,15.0,26.0,26.0,,19.0,15.0,13.0,17.0,17.0,21.0,,26.0,17.0,,7.27,0.03,
Anderlecht,c,1001.0,501.0,501.0,501.0,,,1001.0,501.0,,,7501.0,501.0,251.0,501.0,1001.0,1001.0,,201.0,501.0,,7.27,0.03,
Bayern Munich,d,1.05,1.05,1.06,1.08,,1.04,1.05,1.04,1.05,1.04,1.05,1.08,1.1,1.04,1.05,1.03,1.04,1.05,1.05,,1.03,0.03,
Man City,d,8.0,8.0,6.5,6.0,,7.5,9.0,9.0,8.0,10.0,8.0,6.0,6.5,7.5,8.0,9.0,10.0,7.5,7.5,,6.51,5.46,
CSKA Moscow,d,51.0,51.0,51.0,41.0,,51.0,151.0,126.0,51.0,50.0,151.0,34.0,41.0,67.0,151.0,51.0,50.0,81.0,67.0,,95.0,83.0,
Plzen,d,1001.0,1001.0,501.0,501.0,,1001.0,1001.0,1001.0,,500.0,7501.0,1001.0,501.0,751.0,1001.0,1001.0,500.0,501.0,501.0,,95.0,0.03,
Chelsea,e,1.22,1.25,1.2,1.18,,1.18,1.2,1.2,1.2,1.22,1.2,1.22,1.2,1.18,1.2,1.18,1.22,1.2,1.2,,1.29,1.23,
Schalke 04,e,4.33,4.0,4.5,4.5,,4.33,4.33,5.0,4.5,4.25,5.0,4.0,4.33,4.5,5.0,4.6,4.25,4.5,4.5,,4.14,0.03,
Basel,e,26.0,34.0,21.0,23.0,,26.0,34.0,17.0,29.0,20.0,13.0,21.0,26.0,26.0,17.0,21.0,20.0,26.0,26.0,,11.4,0.03,
Steaua Bucharest,e,251.0,501.0,401.0,251.0,,501.0,501.0,501.0,,250.0,401.0,201.0,501.0,501.0,501.0,501.0,250.0,401.0,251.0,,95.0,0.03,
Bor Dortmund,f,1.67,1.62,1.67,1.67,,1.57,1.57,1.8,1.62,1.75,1.75,1.67,1.67,1.62,1.53,1.67,1.75,1.67,1.7,,1.64,1.59,
Arsenal,f,4.0,4.0,3.75,3.75,,3.8,4.0,3.75,4.0,3.5,3.75,3.5,3.75,3.8,4.0,3.6,3.5,3.75,3.75,,3.38,3.13,
Napoli,f,4.33,4.33,4.33,4.0,,4.5,4.5,3.75,4.33,4.5,3.75,4.33,4.0,4.33,4.0,4.33,4.5,4.5,4.0,,3.28,0.03,
Marseille,f,501.0,501.0,251.0,501.0,,501.0,251.0,501.0,,500.0,501.0,251.0,251.0,501.0,501.0,501.0,500.0,501.0,251.0,,95.0,0.03,
Atletico Madrid,g,1.02,1.02,1.02,1.02,,,1.02,1.02,1.02,1.02,1.02,1.05,1.02,1.02,1.02,1.01,1.02,1.03,1.02,,,0.03,
Zenit St Petersburg,g,15.0,13.0,13.0,19.0,,,21.0,19.0,15.0,12.0,17.0,9.0,17.0,15.0,17.0,15.0,12.0,13.0,15.0,,11.4,0.03,
Porto,g,26.0,21.0,21.0,23.0,,,34.0,34.0,26.0,12.0,34.0,17.0,21.0,21.0,34.0,21.0,12.0,21.0,26.0,,11.4,0.03,
Austria Vienna,g,751.0,751.0,751.0,501.0,,,501.0,501.0,,,751.0,501.0,501.0,501.0,501.0,1001.0,,501.0,301.0,,11.4,0.03,
Barcelona,h,1.03,1.02,1.03,1.02,,,1.02,1.02,1.02,1.03,1.03,1.03,1.02,1.02,1.04,1.01,1.03,1.02,1.03,,1.05,0.03,
AC Milan,h,10.0,11.0,9.0,11.0,,,13.0,13.0,10.0,10.0,10.0,9.0,11.0,10.0,10.0,10.0,10.0,11.0,10.0,,5.09,0.03,
Ajax,h,501.0,251.0,251.0,201.0,,,201.0,501.0,201.0,150.0,201.0,301.0,251.0,201.0,201.0,251.0,150.0,151.0,251.0,,5.09,0.03,
Celtic,h,201.0,151.0,151.0,151.0,,,151.0,226.0,501.0,75.0,126.0,81.0,201.0,151.0,101.0,251.0,75.0,251.0,151.0,,18.6,14.6,
