name,group,Bet 365,Sky Bet,Totesport,Boylesports,Betfred,Sporting Bet,Bet Victor,Paddy Power,Stan James,888sport,Ladbrokes,Coral,William Hill,Winner,Spreadex,Bwin,Unibet,188Bet,You Win,Betway,32Red Bet,Betfair,Betdaq,Sporting Index
Arsenal,f,2.5,2.5,2.5,2.5,,2.5,2.5,2.38,2.5,2.25,2.25,2.5,2.25,2.37,2.38,2.35,2.25,2.5,,2.5,,2.46,2.1,
Napoli,f,2.88,3.0,2.75,2.88,,2.7,2.75,2.88,2.88,2.75,2.88,2.5,3.0,2.88,2.75,2.85,2.75,2.75,,3.0,,2.63,2.51,
Bor Dortmund,f,3.25,3.0,3.25,3.25,,3.3,3.25,3.5,3.25,3.0,3.4,3.5,3.5,3.25,3.0,3.3,3.0,3.25,,3.25,,2.99,2.87,
Marseille,f,26.0,17.0,23.0,17.0,,21.0,21.0,26.0,21.0,15.0,41.0,29.0,26.0,23.0,41.0,29.0,15.0,41.0,,26.0,,24.0,18.6,
Atletico Madrid,g,1.73,,1.8,1.62,,1.67,1.67,1.67,1.67,1.65,1.62,1.83,1.8,1.65,1.67,1.67,1.65,1.65,,1.65,,1.85,1.6,
Porto,g,2.6,,2.38,2.75,,2.6,2.62,2.7,2.63,2.55,2.75,2.38,2.62,2.62,2.4,2.65,2.55,2.65,,2.75,,2.33,2.27,
Zenit St Petersburg,g,8.5,,8.5,8.5,,8.0,9.0,8.5,8.5,6.0,9.0,7.0,7.0,8.5,9.0,8.0,6.0,9.0,,8.5,,6.7,5.75,
Austria Vienna,g,101.0,,51.0,67.0,,81.0,67.0,71.0,81.0,75.0,81.0,67.0,67.0,67.0,101.0,101.0,75.0,101.0,,101.0,,48.0,43.0,
Barcelona,h,1.14,,1.14,1.14,,1.14,1.14,1.14,1.13,1.2,1.12,1.12,1.12,1.14,1.13,1.12,1.2,1.12,,1.14,,1.15,1.1,
AC Milan,h,5.5,,5.0,5.0,,5.0,5.0,5.0,5.5,4.5,5.5,5.0,5.0,5.0,5.5,5.5,4.5,5.5,,5.5,,4.8,4.23,
Ajax,h,51.0,,51.0,41.0,,51.0,51.0,51.0,51.0,20.0,51.0,51.0,51.0,51.0,51.0,51.0,20.0,51.0,,51.0,,38.0,33.0,
Celtic,h,101.0,,67.0,67.0,,81.0,67.0,67.0,67.0,45.0,81.0,67.0,67.0,67.0,101.0,67.0,45.0,101.0,,67.0,,57.0,48.0,
