name,Bet Victor,Totesport,Sporting Bet,Winner,888sport,32Red Bet,Stan James,You Win,Betfred,Betway,Spreadex,Bwin,Betfair,Coral,Unibet,Betdaq,Sporting Index,Sky Bet,Bet 365,William Hill,Paddy Power,Ladbrokes,Boylesports
Honduras,e,34.0,17.0,21.0,34.0,21.0,34.0,21.0,21.0,17.0,25.0,17.0,26.0,17.0,23.0,21.0,23.0,34.0,25.0,18.0,20.0,29.0,22.0,
Argentina,f,1.22,1.22,1.25,1.22,1.25,1.2,1.29,1.22,1.22,1.2,1.17,1.29,1.25,1.25,1.2,1.25,1.15,1.2,1.17,1.08,1.26,1.19,
Bosnia-Herzegovina,f,7.0,9.0,7.0,6.0,7.0,6.5,6.0,8.0,7.0,8.0,8.0,6.0,7.5,6.5,8.0,8.0,8.0,8.0,9.0,,7.27,5.46,
Nigeria,f,10.0,9.0,9.0,11.0,9.0,10.0,8.0,10.0,10.0,10.0,11.0,8.0,6.5,8.5,11.0,8.0,11.0,10.0,12.0,6.4,9.55,8.37,
Iran,f,34.0,26.0,34.0,26.0,34.0,67.0,26.0,34.0,15.0,30.0,29.0,29.0,51.0,34.0,29.0,26.0,81.0,30.0,19.0,18.0,24.0,19.4,
Germany,g,1.5,1.53,1.62,1.53,1.62,1.5,1.57,1.53,1.53,1.55,1.5,1.5,1.57,1.55,1.57,1.55,1.48,1.55,1.57,1.45,1.51,1.46,
Portugal,g,3.75,4.0,3.75,3.75,3.75,3.5,3.75,3.75,3.75,3.75,3.5,3.75,3.5,3.75,3.75,3.75,3.75,3.75,3.75,,3.85,2.92,
USA,g,13.0,9.0,10.0,11.0,10.0,11.0,13.0,12.0,9.0,12.0,13.0,12.0,11.0,11.0,11.0,11.0,13.0,12.0,13.0,7.0,11.9,8.57,
Ghana,g,12.0,15.0,11.0,11.0,11.0,17.0,9.0,13.0,11.0,10.0,13.0,11.0,11.0,10.0,11.0,11.0,12.0,10.0,8.0,8.0,11.9,9.54,
Belgium,h,1.67,1.73,1.67,1.67,1.67,1.55,1.53,1.67,1.57,1.6,1.53,1.62,1.57,1.6,1.67,1.65,1.65,1.6,1.57,1.52,1.62,1.59,
Russia,h,2.75,3.25,3.0,2.8,3.0,3.0,3.25,3.2,3.0,3.0,3.5,3.25,3.0,3.0,3.0,3.0,2.8,3.0,3.25,3.1,3.47,3.18,
South Korea,h,10.0,8.5,10.0,9.0,10.0,10.0,9.0,9.0,10.0,9.0,9.0,7.0,10.0,9.5,9.0,8.0,9.0,9.0,9.0,5.4,8.79,6.43,
Algeria,h,34.0,15.0,23.0,26.0,23.0,41.0,34.0,23.0,23.0,25.0,19.0,26.0,26.0,26.0,19.0,26.0,34.0,25.0,29.0,15.5,29.0,16.0,
